CancerType	SALL1	SALL2	SALL3	SALL4
BLCA	0.2078649238424	0.0182609419225035	0.000331528990340369	1.83457609421473e-08
BRCA	0.0188910417515139	0.0369368145304714	3.39759209244291e-12	1.08708459155896e-47
CHOL	3.39779424473576e-05	2.46455749933673e-06	0.0707875543136436	0.279926677383166
COAD	1.25103276594315e-10	3.05838155591561e-19	0.63488780753409	4.53333529945998e-25
ESCA	0.457231776564891	0.743967444443596	0.45614529643059	1.89465653344971e-05
GBM	0.0279994815454467	0.118047111848537	0.00401642304424015	0.0541713981114506
HNSC	1.73963541882332e-05	0.0740350365290339	0.214782751013211	5.23931568773495e-16
KICH	8.64463240115564e-12	1.68236857754188e-12	0.00132040470836532	1.26725458501096e-07
KIRC	6.02776085557177e-15	2.69330304211951e-16	6.15893541425508e-34	3.80671758403971e-06
KIRP	3.48144592914152e-06	3.36324132655131e-07	2.97875544120788e-19	0.04183008415769
LIHC	0.0050172054707629	0.00841060268015973	0.0122807242488083	0.36473043649095
LUAD	2.52419520709917e-09	0.997731543488317	3.05318784326306e-08	1.25669969066582e-28
LUSC	1.95547208216987e-12	6.3762438115198e-06	6.80966317869865e-08	1.29199944013021e-27
PRAD	5.16634947164813e-05	0.476111655413963	0.00530272682320455	0.346032072478962
READ	0.0546088862943196	3.46170919287402e-06	0.648458726712514	1.3616999148587e-07
STAD	0.921431668898717	7.94690017854173e-05	0.0323785218143316	1.38683889764051e-17
THCA	0.100263797483582	2.7697587407898e-11	0.000240582164048187	4.89711540328031e-16
UCEC	0.619679352766838	2.47087333426829e-10	0.0548535136961835	0.000685086756720758
