CancerType	SALL1	SALL2	SALL3	SALL4
ACC	0.0729068296870924	0.465798442064265	0.320212610338608	0.163882540084004
BLCA	-0.111546318730232	0.298744622340986	0.0564074077912417	0.0882541076004583
BRCA	-0.371770300706464	0.212195095414309	-0.0423697348721346	-0.188406183554268
CESC	-0.19496626973532	0.120628807939046	-0.0552477201006983	0.173584957024407
CHOL	0.166023166023166	-0.000514800514800515	0.177074561538817	0.119433719433719
COAD	-0.0889001311555238	-0.554582059486265	-0.0623890724475679	-0.108653048849116
DLBC	-0.196061876150504	-0.261723838471559	-0.07324676573752	-0.258141554494138
ESCA	-0.153413749839463	-0.254748709003177	-0.0448178000644053	-0.112370000606864
GBM	0.295984531359934	0.392909025566787	0.579524804996938	0.0888788779161879
HNSC	-0.178281854951888	-0.145655209663364	0.0363657236125996	-0.105808795940515
KICH	-0.200568181818182	-0.0213723776223776	-0.126010440308341	0.277840909090909
KIRC	0.191539885367868	0.0502480248134524	0.108627625783736	-0.211420521338554
KIRP	0.246617348765064	0.157850594598894	0.113892609348533	0.0285194582502977
LAML	0.0638359152825315	-0.0215127222028581	0.152331982307851	0.203635413035901
LGG	-0.278341120661982	0.0892228451364593	-0.0825848635082861	0.117092980439199
LIHC	0.267704147610787	-0.0525298275293544	0.145552570734731	-0.0218123358282877
LUAD	-0.073243673499974	0.0855403846807949	0.0487341055938761	1.26570927647399e-05
LUSC	0.0273943079771546	0.0899357301333588	0.0594791120705846	-0.0231547104993201
MESO	0.0746862912426472	0.178244256804566	-0.0124757800563283	0.117599886787113
OV	0.0847554653075841	0.268693060708059	-0.0486061300035473	-0.0721050647727498
PAAD	-0.0998927046046729	-0.329989818379899	-0.021355470841652	-0.0848798153903114
PCPG	-0.0244262032146251	0.387235359081403	-0.148117408374381	0.198890905789394
PRAD	-0.340786514814152	-0.041316657411208	-0.0180151389248005	-0.225958422869836
READ	-0.305780865120018	-0.595903717521927	-0.14259162424174	-0.205210920671566
SARC	0.255854449477838	0.614410145046084	0.175095574890788	0.0437611204928119
SKCM	-0.0195458760824911	0.120309007926755	0.0744238535033316	0.0734475611558644
STAD	0.0973860729061518	-0.354025486403459	0.0616187207103515	0.115716236204346
TGCT	0.299938360386275	0.480042989679316	0.242454272902996	0.380430212893743
THCA	0.23854423756746	0.350219362174991	0.02420317843509	0.295630374226284
THYM	0.00199161933284053	0.0935051986896454	-0.0222068559491567	0.11251622367954
UCEC	0.128444796303179	0.242080680993948	0.0689467554295306	0.0918536722413777
UCS	0.0476418318523582	0.356117566643882	0.333923314925011	0.0712918660287081
UVM	-0.318565400843882	-0.217721518987342	-0.185291349037942	-0.0477496483825598
