CancerType	SALL1	SALL2	SALL3	SALL4
ACC	0.523127499801478	1.90839986642799e-05	0.00401588630685579	0.148969826086772
BLCA	0.0237240893258461	7.80046632702832e-10	0.253877926739781	0.0739008127521536
BRCA	1.63447966717686e-37	1.19786830415483e-12	0.159476391976979	3.03328107238589e-10
CESC	0.000617965072755886	0.0349795367991237	0.335436657026633	0.00233887551232371
CHOL	0.331845837904493	0.998207239328956	0.301536297756236	0.486347089182912
COAD	0.0538715427382074	0	0.176464820437094	0.0183743404123719
DLBC	0.181694762705219	0.0725512969519447	0.620771504814904	0.0766599746566792
ESCA	0.0513632617047405	0.0011062964202027	0.571186523234889	0.154400147904062
GBM	0.000105117457106247	1.76068731693847e-07	0	0.251652344708893
HNSC	5.90101389613974e-05	0.00107637840539752	0.416203857114765	0.0177192021355007
KICH	0.109085563221992	0.865564703370503	0.317208750063215	0.0253471759394348
KIRC	8.471317423462e-06	0.245857849039798	0.0119326107978423	8.03065625571686e-07
KIRP	2.36970796200904e-05	0.00722461144628894	0.05310318166919	0.629217999992917
LAML	0.4361534825593	0.792954734575145	0.0618674806902771	0.0122642005539334
LGG	8.72047832627522e-11	0.0402594548492981	0.0576871685228729	0.00701675994352301
LIHC	1.64468841747119e-07	0.310822803145957	0.0047954054705361	0.674143240137195
LUAD	0.0933316667546069	0.0499285170618387	0.264548184255902	0.999769609356099
LUSC	0.540702649165414	0.0442382916069201	0.18379050083384	0.605005230511686
MESO	0.494333546120732	0.100561501282366	0.909232194624732	0.28028857508644
OV	0.0994495306251647	1.21844349710575e-07	0.345326759585092	0.161169375056306
PAAD	0.184619121329432	7.73381985007831e-06	0.777220937394081	0.259683901042539
PCPG	0.742748077358533	7.86638664457353e-08	0.0453906021972139	0.00695209981691548
PRAD	4.91498406902644e-15	0.356914306409877	0.688088069354134	3.63785043333913e-07
READ	6.34426038669693e-05	0	0.066024940454558	0.00789904475220523
SARC	2.6737673013356e-05	0	0.0043983546557952	0.479787559743896
SKCM	0.672216239060277	0.00899396220765853	0.106715794873436	0.111404170191584
STAD	0.0595571537626291	2.24104305692759e-12	0.233893435128063	0.0250813627582109
TGCT	0.000152326794865076	3.33502829217754e-10	0.00229198019788595	1.17289434004082e-06
THCA	5.45415464163999e-08	4.22124745243534e-16	0.585531091305761	1.20482765379047e-11
THYM	0.982849438591148	0.311322485704048	0.810546746910848	0.223100726680041
UCEC	0.00260884739892253	1.05867771646915e-08	0.10691066397661	0.0315650227933139
UCS	0.72667662469556	0.00735554271154482	0.0118983733575663	0.60064650213348
UVM	0.00413192898105962	0.0525439925544987	0.0998676787121489	0.673449311340316
