ID	SALL1	SALL2	SALL3	SALL4	Type	CancerType
TCGA-OR-A5JP-01A	0.5907453	0.4719962	0.00362277	0	Tumor	ACC
TCGA-OR-A5JG-01A	0.9675015	0.8462499	0	0.04253906	Tumor	ACC
TCGA-OR-A5LG-01A	0.03302009	1.88446	0	1.238695	Tumor	ACC
TCGA-OR-A5JR-01A	0.00444549	0.6488977	0	0.04279696	Tumor	ACC
TCGA-OR-A5KU-01A	1.644782973	0.518020672	0.006198397	1.232003389	Tumor	ACC
TCGA-OR-A5LS-01A	0.014705191	3.622097026	0	0.777320893	Tumor	ACC
TCGA-OR-A5L9-01A	0	0.116047302	0	0.045046783	Tumor	ACC
TCGA-OR-A5JQ-01A	0.138081756	0.817058314	0	0.05405501	Tumor	ACC
TCGA-OR-A5K4-01A	0.006727263	0.410693587	0	0.027922005	Tumor	ACC
TCGA-OR-A5JL-01A	0.00995394	2.103767079	0.011418954	0.020732161	Tumor	ACC
TCGA-OR-A5LC-01A	0.038671594	1.505873665	0	0.010884285	Tumor	ACC
TCGA-OR-A5K2-01A	0.053169888	0.259912976	0	0.012526754	Tumor	ACC
TCGA-P6-A5OG-01A	0.039020419	0.543703584	0	1.161615411	Tumor	ACC
TCGA-OR-A5JW-01A	0.4552267	0.4716649	0.06726945	0.1680635	Tumor	ACC
TCGA-OR-A5KO-01A	0.126465216	1.108475901	0.012586934	0.564460368	Tumor	ACC
TCGA-OR-A5J8-01A	0.008889914	0.756198	0.003407643	0.3561224	Tumor	ACC
TCGA-PA-A5YG-01A	0.1483209	0.2507026	0	0.08227808	Tumor	ACC
TCGA-OR-A5KV-01A	0.07268511	2.565471	0.06559386	0.2153446	Tumor	ACC
TCGA-OR-A5L4-01A	0.006739858	0.29458	0	0.100023	Tumor	ACC
TCGA-OR-A5KX-01A	0.02545011	2.609309	0	0.03534906	Tumor	ACC
TCGA-OR-A5L8-01A	0	3.178406044	0	0.38943488	Tumor	ACC
TCGA-OR-A5JO-01A	0.06281399	0.5869169	0	0	Tumor	ACC
TCGA-OR-A5JA-01A	0.1455428	0.976332	0.02580712	0.1782412	Tumor	ACC
TCGA-OR-A5LO-01A	0.06373803	2.714843	0	0.843351	Tumor	ACC
TCGA-OR-A5JM-01A	0	1.868321	0.003781186	0.3584316	Tumor	ACC
TCGA-OR-A5JV-01A	0.79248759	0.333879203	0	0.150602152	Tumor	ACC
TCGA-OR-A5JB-01A	0.5576779	1.278215	0.00781242	0.5986476	Tumor	ACC
TCGA-OR-A5LA-01A	0.005804321	0.7063745	0	0.02411544	Tumor	ACC
TCGA-OR-A5JE-01A	0.246796	1.543005	1.061229	0.06730905	Tumor	ACC
TCGA-OR-A5JZ-01A	0	0.05835127	0	0.009831116	Tumor	ACC
TCGA-OR-A5KT-01A	0	0.724200118	0	0.028702957	Tumor	ACC
TCGA-OR-A5KZ-01A	0.007589799	0.479074228	0	0.062273185	Tumor	ACC
TCGA-OR-A5LJ-01A	0.0685487	2.485961	0.007653639	2.054395	Tumor	ACC
TCGA-OR-A5LB-01A	0.612164419	3.495067445	0	0.183221462	Tumor	ACC
